Solver,Benchmark,Result,Time,Exprs
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_5.7.sl,SUCCESS,0.05,26
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_5_100.sl,SUCCESS,0.10,23
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_10_1000.sl,SUCCESS,3.65,14
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_73_1000.sl,SUCCESS,0.83,16
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_1.7.sl,SUCCESS,0.37,150
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_42_1000.sl,SUCCESS,0.67,10
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_4.6.sl,SUCCESS,0.40,35
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_136_10.sl,SUCCESS,0.08,19
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_11.12.sl,SUCCESS,0.16,41
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_148_10.sl,SUCCESS,0.09,41
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_5_1000.sl,SUCCESS,0.90,22
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_1.1.sl,SUCCESS,0.16,73
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_13.2.sl,SUCCESS,0.06,16
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_140_10.sl,SUCCESS,0.13,68
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_15.2.sl,SUCCESS,0.55,72
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_2.5.sl,SUCCESS,0.15,35
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_49_100.sl,SUCCESS,0.07,10
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_1.17.sl,SUCCESS,0.37,79
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_13.15.sl,SUCCESS,0.49,212
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_8.10.sl,SUCCESS,0.60,284
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_39_1000.sl,SUCCESS,1.02,21
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_66_1000.sl,SUCCESS,6.54,43
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_36_100.sl,SUCCESS,2.02,25
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_121_100.sl,SUCCESS,34.41,419
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_112_100.sl,SUCCESS,0.07,4
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_132_10.sl,SUCCESS,0.12,12
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_22_10.sl,SUCCESS,0.20,28
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_117_100.sl,SUCCESS,0.09,11
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_94_100.sl,SUCCESS,0.10,23
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_73_10.sl,SUCCESS,0.03,17
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_105_1000.sl,SUCCESS,0.79,10
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_8.15.sl,SUCCESS,0.90,249
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_89_100.sl,SUCCESS,0.76,491
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_137_100.sl,SUCCESS,0.11,13
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_126_1000.sl,SUCCESS,7.64,755
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_62_1000.sl,SUCCESS,2.78,45
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_12.5.sl,SUCCESS,0.21,102
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_7_1000.sl,SUCCESS,6.03,386
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_11.16.sl,SUCCESS,0.69,89
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_14.2.sl,SUCCESS,0.05,37
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_97_1000.sl,SUCCESS,40.47,132
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_10.4.sl,SUCCESS,2.55,87
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_76_1000.sl,SUCCESS,2.10,13
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_12.2.sl,SUCCESS,0.07,43
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_14.9.sl,SUCCESS,188.45,248
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_88_10.sl,SUCCESS,0.21,49
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_icfp_gen_14.4.sl,SUCCESS,0.23,90
cvc4-syguscomp2019___v1_PBE_BitVec-f/,./from_2018/PRE_78_1000.sl,SUCCESS,0.93,11
